strategy,spans,channel,band,frequency_thz,wavelength_nm,distance_km,launch_power_dbm,ase_psd_w_per_hz,ase_channel_w,ase_receiver_w,ase_01nm_w,nli_w,transceiver_noise_w,total_noise_w,optical_noise_bandwidth_hz,receiver_equivalent_bandwidth_hz,gsnr_db,osnr_01nm_db,ber,evm_percent,q_factor_db,gmi_bits_per_2d_symbol_per_pol,ngmi,air_per_channel_gbps,metric_basis,calibrated_receiver_snr_db,calibrated_receiver_ngmi
adaptive,1,40,C,192.48766646153842,1557.4632053628354,80.0,-3.7290636851171524,2.0040643148183337e-18,7.759737026976588e-08,7.054306388160535e-08,2.4768332379855784e-08,9.218024962775176e-08,1.339965545447183e-07,2.967198680540754e-07,38720000000.0,35200000000.0,31.547470042905395,42.331968644102,6.255182248696822e-13,6.334696327030466,17.02469767269114,4.0,1.0,256.0,calibrated_receiver,23.965483990215503,1.0
adaptive,1,41,C,192.68766646153844,1555.846637749595,80.0,-3.671371377424845,2.02278783914572e-18,7.832234513172228e-08,7.120213193792934e-08,2.505171518932815e-08,9.476181739204671e-08,1.357884597867698e-07,3.017524091167459e-07,38720000000.0,35200000000.0,31.53212116174351,42.340253966546506,6.378100267883274e-13,6.337124179786256,17.021405947509177,4.0,1.0,256.0,calibrated_receiver,23.962155650559655,1.0
adaptive,1,42,C,192.88766646153843,1554.233422486752,80.0,-3.6136790697325374,2.041649337942385e-18,7.905266236512915e-08,7.186605669557195e-08,2.5337827049064648e-08,9.748789974225035e-08,1.3760432776732158e-07,3.069582842051439e-07,38720000000.0,35200000000.0,31.515527343916098,42.34862725615275,6.513599504091287e-13,6.339750000711507,17.017847263006537,4.0,1.0,256.0,calibrated_receiver,23.958557351678163,1.0
adaptive,1,43,C,193.08766646153845,1552.6235491572234,80.0,-3.55598676204023,2.0605564170804946e-18,7.978474446935675e-08,7.25315858812334e-08,2.562553108268822e-08,1.0039369262469887e-07,1.3944447893458873e-07,3.1236975744052103e-07,38720000000.0,35200000000.0,31.497323434450124,42.35728448994962,6.665428529793104e-13,6.342631855528666,17.013943316778633,4.0,1.0,256.0,calibrated_receiver,23.954609911266836,1.0
adaptive,1,44,C,193.28766646153844,1551.0170073870415,80.0,-3.4982944543479215,2.0794312182104945e-18,8.051557676911035e-08,7.31959788810094e-08,2.5913862054439948e-08,1.0351134033459041e-07,1.4130923802206693e-07,3.1801655723766674e-07,38720000000.0,35200000000.0,31.47720822851964,42.366384119792066,6.837154529343336e-13,6.345817810609806,17.009629524537935,4.0,1.0,256.0,calibrated_receiver,23.95024801433911,1.0
adaptive,1,45,C,193.48766646153842,1549.4137868451314,80.0,-3.440602146655614,2.112862189810598e-18,8.181002398946635e-08,7.437274908133305e-08,2.638499657949221e-08,1.0637098696500815e-07,1.4319893410583858e-07,3.2394267015217976e-07,38720000000.0,35200000000.0,31.4547162771917,42.34582743122519,7.034206900067293e-13,6.349382102652518,17.004806083660434,4.0,1.0,256.0,calibrated_receiver,23.945370730271776,1.0
adaptive,1,46,C,193.68766646153844,1547.8138772430889,80.0,-3.3829098389633065,2.172715451338726e-18,8.412754227583548e-08,7.647958388712317e-08,2.7188552308646453e-08,1.0862429963495626e-07,1.4511390066264517e-07,3.302177841847246e-07,38720000000.0,35200000000.0,31.42908557215334,42.27322932499423,7.265413218810637e-13,6.353446232548936,16.999309601565017,4.0,1.0,256.0,calibrated_receiver,23.939812820800277,1.0
adaptive,1,47,C,193.88766646153843,1546.2172683349609,80.0,-3.3252175312709986,2.2342668196293187e-18,8.651081125604722e-08,7.864619205095202e-08,2.8016552963275217e-08,1.1117472300278257e-07,1.4705447562873624e-07,3.3687539068247085e-07,38720000000.0,35200000000.0,31.400089606800666,42.20063546369923,7.535782399693354e-13,6.358047110797083,16.993091532830316,4.0,1.0,256.0,calibrated_receiver,23.93352516893008,1.0
adaptive,1,48,C,194.08766646153845,1544.623949917027,80.0,-3.267525223578691,2.297742550044335e-18,8.896859153771665e-08,8.088053776156058e-08,2.8871978172515424e-08,1.1406946522718113e-07,1.490210014595055e-07,3.439710044482472e-07,38720000000.0,35200000000.0,31.367256430324247,42.12770936921232,7.853605614435992e-13,6.3632608734520275,16.986050705626152,4.0,1.0,256.0,calibrated_receiver,23.926405434133684,1.0
adaptive,1,49,C,194.28766646153844,1543.0339118275813,80.0,-3.209832915886383,2.3634503643608448e-18,9.15127981080519e-08,8.319345282550173e-08,2.9758857052303784e-08,1.1736351806328733e-07,1.510138251899242e-07,3.515707960787133e-07,38720000000.0,35200000000.0,31.33003916038705,42.05400461154778,8.229444310799147e-13,6.369175980728518,16.978069891951762,4.0,1.0,256.0,calibrated_receiver,23.918335027300248,1.0
