channel,band,wavelength_nm,launch_power_dbm,span_output_power_dbm,no_isrs_output_power_dbm,differential_isrs_db,amplifier_residual_db
55,C,1533.5620063733443,-2.863679069732537,-9.84330652364311,-18.64550461616876,8.80219809252565,0.0
56,C,1531.99464953977,-2.8059867620402295,-10.031820949842725,-18.773763413658987,8.74194246381626,0.0
57,C,1530.4304932279274,-2.7482944543479215,-10.233933630259905,-18.899901875604055,8.66596824534415,0.0
58,S,1528.8695276446808,1.309397853344386,-6.409690107168911,-14.982861661091642,8.573171553922732,0.0
59,S,1527.3117430368086,1.3670901610366935,-6.586459551713462,-15.04904297007113,8.462583418357667,0.0
60,S,1525.7571296907993,1.424782468729001,-6.7806289417077545,-15.114057720895387,8.333428779187631,0.0
61,S,1524.2056779326492,1.4824747764213093,-6.9931118674508745,-15.178109621872418,8.184997754421543,0.0
62,S,1522.6573781276634,1.5401670841136168,-7.2245335098376975,-15.24134909746789,8.016815587630193,0.0
63,S,1521.1122206802543,1.5978593918059243,-7.475163312234141,-15.303871459536078,7.828708147301937,4.440892098500626e-16
64,S,1519.5701960337447,1.6555516994982318,-7.744859425284435,-15.365717530317088,7.620858105032654,0.0
65,S,1518.0312946701704,1.7132440071905402,-8.033029501923938,-15.426876499398073,7.3938469974741325,0.0
66,S,1516.4955071100846,1.7709363148828476,-8.338611344284079,-15.48729071412158,7.1486793698375015,0.0
67,S,1514.9628239123624,1.8286286225751551,-8.660075542306785,-15.546862040764966,6.886786498458182,6.661338147750939e-16
68,S,1513.433235674009,1.8863209302674626,-8.995450718018677,-15.605459393841963,6.610008675823287,0.0
69,S,1511.9067330299654,1.944013237959771,-9.342370432369997,-15.66292701343276,6.320556581062764,0.0
70,S,1510.3833066529185,2.0017055456520785,-9.698139353688816,-15.71909307464358,6.020953720954763,0.0
71,S,1508.862947253111,2.059397853344386,-10.05981504398533,-15.773778237142874,5.713963193157545,4.440892098500626e-16
72,S,1507.345645578153,2.1170901610366935,-10.424300782909388,-15.826803783311655,5.402503000402266,4.440892098500626e-16
73,S,1505.8313924128324,2.174782468729001,-10.78844427898778,-15.877999047283652,5.089554768295868,0.0
74,S,1504.3201785789313,2.2324747764213093,-11.149136938783922,-15.927207900014437,4.778070961230515,0.0
75,S,1502.8119949350378,2.290167084113617,-11.503408567006474,-15.97429412332692,4.470885556320445,0.0
76,S,1501.3068323763632,2.3478593918059243,-11.848512913260487,-16.01914557456931,4.170632661308826,0.0
77,S,1499.8046818345586,2.4055516994982327,-12.182000297958432,-16.06167710938356,3.8796768114251314,0.0
78,S,1498.3055342775322,2.46324400719054,-12.50177455777612,-16.101832289972357,3.600057732196236,0.0
79,S,1496.8093807092691,2.5209363148828476,-12.80613265878066,-16.13958395773669,3.333451298956031,-4.440892098500626e-16
80,S,1495.3162121696507,2.578628622575155,-13.093786442549778,-16.17493379059549,3.0811473480457114,-4.440892098500626e-16
81,S,1493.8260197342763,2.6363209302674626,-13.363867015383427,-16.207910995866953,2.8440439804835256,0.0
82,S,1492.3387945142847,2.694013237959771,-13.615913195939251,-16.23857030922876,2.6226571132895082,0.0
83,S,1490.8545276561783,2.7517055456520785,-13.849846153947023,-16.266989479580218,2.417143325633192,0.0
84,S,1489.3732103416462,2.809397853344386,-14.065932874335314,-16.29326641972009,2.227333545384774,-8.881784197001252e-16
85,S,1487.894833787391,2.8670901610366943,-14.264741359697519,-16.317516195084604,2.052774835387087,0.0
86,S,1486.4193892449543,2.924782468729001,-14.447090550258066,-16.339868008978847,1.892777458720781,0.0
87,S,1484.946868000544,2.9824747764213093,-14.61399781974916,-16.360462324390674,1.7464645046415137,0.0
88,S,1483.477261374864,3.0,-14.806782640883583,-16.419604390462496,1.6128217495789123,0.0
89,S,1482.0105607229418,3.0,-15.004046585504664,-16.49479183206784,1.4907452465631774,0.0
90,S,1480.5467574339602,3.0,-15.189568600178383,-16.568653726554633,1.3790851263762485,0.0
91,S,1479.085842931089,3.0,-15.396420750381395,-16.641351545916898,1.2449307955355033,0.0
92,S,1477.6278086713164,3.0,-15.557383066736818,-16.713048270158602,1.1556652034217814,0.0
93,S,1476.1726461452838,3.0,-15.711132952642458,-16.783907981622118,1.0727750289796567,0.0
94,S,1474.7203468771188,3.0,-15.858765844267857,-16.854095920377823,0.9953300761099653,0.0
95,S,1473.270902424272,3.0,-16.001291983169253,-16.92377895052199,0.9224869673527349,0.0
96,S,1471.8243043773525,3.0,-16.1396280387835,-16.993126363922144,0.8534983251386443,0.0
97,S,1470.3805443599656,3.0,-16.27459358239941,-17.062310925695265,0.7877173432958542,0.0
98,S,1468.9396140285512,3.0,-16.406911620795263,-17.131510045300832,0.7245984245055737,0.0
99,S,1467.5015050722234,3.0,-16.53721235393399,-17.2009069396735,0.6636945857395098,0.0
100,S,1466.0662092126088,3.0,-16.66603932234082,-17.270691641655432,0.6046523193146142,0.0
101,S,1464.6337182036912,3.0,-16.793857146368797,-17.341061699616585,0.5472045532477877,0.0
102,S,1463.20402383165,3.0,-16.921060122639993,-17.412222414088653,0.49116229144866025,0.0
103,S,1461.7771179147053,3.0,-17.047981025022125,-17.4843864658354,0.4364054408132728,0.0
104,S,1460.3529923029616,3.0,-17.174899552565527,-17.557772808043396,0.38287325547786744,0.0
