input_snr_db,repeat,seed,acquisition_success,measured_snr_db,ngmi,gmi,ber,failure_reason
11.0,2,20272820,True,9.535337598431937,0.72061290320074,2.88245161280296,0.07439145553899652,
11.25,0,20272918,False,10.589290832919264,0.7971709995747983,3.1886839982991932,0.05632141082960755,"pilot phase recovery failed (reliability=0.9492, slips=4)"
11.25,1,20272919,True,10.730264490206084,0.8039737305476324,3.2158949221905297,0.05414803775459513,
11.25,2,20272920,True,10.534954806969093,0.796467731543512,3.185870926174048,0.057128663686040734,
11.5,0,20273018,True,10.857418676052752,0.8059464023206392,3.2237856092825568,0.05259562841530055,
11.5,1,20273019,True,10.02807984765723,0.7582974859293504,3.0331899437174017,0.06662940884252361,
11.5,2,20273020,True,10.927366467308932,0.809011469146872,3.236045876587488,0.05290611028315946,
11.75,0,20273118,True,10.887940789022835,0.8113948514206315,3.245579405682526,0.052036761053154496,
11.75,1,20273119,True,11.14535481171955,0.8320211979969516,3.3280847919878065,0.04632389468455042,
11.75,2,20273120,True,10.170106682038337,0.7543444182754009,3.0173776731016035,0.061289120715350226,
12.0,0,20273218,False,10.493029992209365,0.7866566290510567,3.146626516204227,0.05656979632389468,"pilot phase recovery failed (reliability=0.9563, slips=2)"
12.0,1,20273219,True,11.175607950644743,0.8287128737238771,3.3148514948955086,0.04520615996025832,
12.0,2,20273220,True,11.262060268628378,0.8411350619473134,3.3645402477892534,0.04384003974167909,
12.25,0,20273318,True,11.102477093465627,0.8203276954545834,3.2813107818183336,0.04346746150024838,
12.25,1,20273319,True,11.399570686531185,0.845857419773741,3.383429679094964,0.042473919523099854,
12.25,2,20273320,True,11.15598776716441,0.8312827561799767,3.325131024719907,0.04632389468455042,
12.5,0,20273418,True,11.42592868903277,0.8402304959956468,3.3609219839825872,0.0426602086438152,
12.5,1,20273419,True,11.713870749725682,0.8622531974635363,3.4490127898541454,0.036202185792349725,
12.5,2,20273420,True,11.46765994352289,0.8467633412372589,3.3870533649490357,0.03936910084451068,
12.75,0,20273518,True,12.108174232723018,0.8794759340848037,3.517903736339215,0.03315946348733234,
12.75,1,20273519,True,11.616751821346138,0.8570987337257764,3.4283949349031055,0.0378166915052161,
12.75,2,20273520,True,11.944297321691732,0.8736040168871808,3.4944160675487232,0.035084451068057625,
13.0,0,20273618,True,12.477644695587749,0.9010185855192578,3.6040743420770314,0.024900645802285147,
13.0,1,20273619,True,12.365073627777736,0.8915347159848634,3.566138863939454,0.028874813710879285,
13.0,2,20273620,True,12.008400678873965,0.8831283241685419,3.5325132966741677,0.03260059612518629,
13.25,0,20273718,True,12.637163447414352,0.9104091655573456,3.6416366622293825,0.024093392945851964,
13.25,1,20273719,True,12.416400009143011,0.8972908871504612,3.589163548601845,0.026266766020864384,
13.25,2,20273720,True,12.388763509571838,0.8946105677108738,3.578442270843495,0.028191753601589667,
13.5,0,20273818,True,12.457232715234985,0.8940291407023704,3.5761165628094815,0.02552160953800298,
13.5,1,20273819,True,12.740039272415483,0.9115876945193544,3.6463507780774176,0.022540983606557374,
13.5,2,20273820,True,12.248336300424826,0.8888947783349213,3.555579113339685,0.02899900645802285,
13.75,0,20273918,True,13.28302067891606,0.9314829248757287,3.725931699502915,0.01676602086438152,
13.75,1,20273919,True,12.610478046769044,0.9029241662037246,3.6116966648148985,0.023596621957277696,
13.75,2,20273920,True,12.675477506368981,0.9097916418468001,3.6391665673872002,0.02334823646299056,
14.0,0,20274018,True,13.476676565305468,0.9397345133942772,3.7589380535771086,0.015710382513661202,
14.0,1,20274019,True,13.22528574335565,0.9282135404370949,3.7128541617483797,0.018691008445106808,
14.0,2,20274020,True,13.387441020994748,0.9354299858991708,3.7417199435966833,0.017200695479384003,
14.25,0,20274118,True,13.217828987204149,0.9310236408185815,3.724094563274326,0.017573273720814703,
14.25,1,20274119,True,13.270301484386923,0.9301422858831894,3.7205691435327575,0.01732488822652757,
14.25,2,20274120,True,13.223585965548837,0.9246789773656416,3.6987159094625666,0.01968455042225534,
14.5,0,20274218,True,13.892032240311083,0.9569121760110217,3.827648704044087,0.01130153999006458,
14.5,1,20274219,True,12.80679455779168,0.9088887438360125,3.63555497534405,0.023348236462990564,
14.5,2,20274220,True,13.490660780386987,0.9380551056860247,3.7522204227440987,0.014344262295081968,
14.75,0,20274318,True,13.810334754011917,0.9514780324293615,3.805912129717446,0.012791852955787383,
14.75,1,20274319,True,14.063152674267346,0.9592300690825196,3.8369202763300785,0.010307998012916045,
14.75,2,20274320,True,13.425381316319545,0.9346511633483513,3.738604653393405,0.016269249875807253,
15.0,0,20274418,True,13.771177183616974,0.9488260788701117,3.795304315480447,0.012543467461500249,
15.0,1,20274419,True,13.645571373155954,0.9450399203878901,3.7801596815515603,0.014530551415797318,
15.0,2,20274420,True,13.64139866620285,0.9420933804222869,3.7683735216891474,0.015399900645802284,
15.25,0,20274518,True,13.916879719620914,0.951321613345039,3.805286453380156,0.011984600099354198,
15.25,1,20274519,True,14.280282860791184,0.9636922800255909,3.8547691201023637,0.008693492300049677,
15.25,2,20274520,True,14.10698177496068,0.9581655600386487,3.832662240154595,0.011053154495777446,
15.5,0,20274618,True,14.066923432677195,0.9529963912777923,3.8119855651111694,0.012108792846497764,
15.5,1,20274619,True,14.68248271777966,0.9724264234444082,3.889705693777633,0.007389468455042226,
15.5,2,20274620,True,14.09831993555979,0.961086111742999,3.844344446971996,0.010059612518628913,
15.75,0,20274718,True,14.649861504399379,0.9736548183204793,3.894619273281917,0.0066443119721808245,
15.75,1,20274719,True,14.815467854651725,0.9712376932062552,3.8849507728250208,0.007141082960755092,
15.75,2,20274720,True,15.134093619823071,0.9775738088963073,3.910295235585229,0.005837059115747641,
16.0,0,20274818,True,15.330134531358567,0.9850344266121962,3.940137706448785,0.0038499751614505715,
16.0,1,20274819,True,14.734685644013982,0.9754432802521995,3.901773121008798,0.005712866368604073,
16.0,2,20274820,True,15.111211946379079,0.9768254814531001,3.9073019258124004,0.005837059115747641,
16.25,0,20274918,True,15.224306962716819,0.980104870694315,3.92041948277726,0.004967709885742673,
16.25,1,20274919,True,15.044764822527156,0.9800083804588123,3.9200335218352493,0.004595131644311972,
16.25,2,20274920,True,15.345963500348526,0.9844710409886168,3.9378841639544673,0.003912071535022355,
16.5,0,20275018,True,15.132878991151435,0.9782089823191188,3.912835929276475,0.005526577247888723,
16.5,1,20275019,True,14.830544411962968,0.973915318310683,3.895661273242732,0.0067685047193243916,
16.5,2,20275020,True,15.438401014805482,0.9838489937073658,3.935395974829463,0.0035394932935916544,
16.75,0,20275118,True,15.518007736190306,0.9861729393719124,3.9446917574876497,0.0035394932935916544,
