strategy,parameter,metric,spearman_rho,abs_spearman_rho
fixed,dispersion_scale,minimum_gsnr_db,0.7999999999999999,0.7999999999999999
fixed,dispersion_scale,minimum_ngmi,0.2581988897471611,0.2581988897471611
fixed,dispersion_scale,working_fraction,,
fixed,dispersion_scale,air_tbps,,
fixed,dispersion_scale,thresholded_net_capacity_tbps,,
fixed,dispersion_scale,working_fraction_C,,
fixed,noise_figure_offset_db,minimum_gsnr_db,0.39999999999999997,0.39999999999999997
fixed,noise_figure_offset_db,minimum_ngmi,-0.2581988897471611,0.2581988897471611
fixed,noise_figure_offset_db,working_fraction,,
fixed,noise_figure_offset_db,air_tbps,,
fixed,noise_figure_offset_db,thresholded_net_capacity_tbps,,
fixed,noise_figure_offset_db,working_fraction_C,,
fixed,raman_gain_scale,minimum_gsnr_db,0.39999999999999997,0.39999999999999997
fixed,raman_gain_scale,minimum_ngmi,0.7745966692414834,0.7745966692414834
fixed,raman_gain_scale,working_fraction,,
fixed,raman_gain_scale,air_tbps,,
fixed,raman_gain_scale,thresholded_net_capacity_tbps,,
fixed,raman_gain_scale,working_fraction_C,,
fixed,pump_power_scale,minimum_gsnr_db,0.6000000000000001,0.6000000000000001
fixed,pump_power_scale,minimum_ngmi,0.2581988897471611,0.2581988897471611
fixed,pump_power_scale,working_fraction,,
fixed,pump_power_scale,air_tbps,,
fixed,pump_power_scale,thresholded_net_capacity_tbps,,
fixed,pump_power_scale,working_fraction_C,,
fixed,transceiver_snr_offset_db,minimum_gsnr_db,0.7999999999999999,0.7999999999999999
fixed,transceiver_snr_offset_db,minimum_ngmi,0.2581988897471611,0.2581988897471611
fixed,transceiver_snr_offset_db,working_fraction,,
fixed,transceiver_snr_offset_db,air_tbps,,
fixed,transceiver_snr_offset_db,thresholded_net_capacity_tbps,,
fixed,transceiver_snr_offset_db,working_fraction_C,,
adaptive,attenuation_scale,minimum_gsnr_db,-0.39999999999999997,0.39999999999999997
adaptive,attenuation_scale,minimum_ngmi,0.2581988897471611,0.2581988897471611
adaptive,attenuation_scale,working_fraction,,
adaptive,attenuation_scale,air_tbps,,
adaptive,attenuation_scale,thresholded_net_capacity_tbps,,
adaptive,attenuation_scale,working_fraction_C,,
adaptive,gamma_scale,minimum_gsnr_db,-0.7999999999999999,0.7999999999999999
adaptive,gamma_scale,minimum_ngmi,-0.7745966692414834,0.7745966692414834
adaptive,gamma_scale,working_fraction,,
adaptive,gamma_scale,air_tbps,,
adaptive,gamma_scale,thresholded_net_capacity_tbps,,
adaptive,gamma_scale,working_fraction_C,,
adaptive,dispersion_scale,minimum_gsnr_db,0.7999999999999999,0.7999999999999999
adaptive,dispersion_scale,minimum_ngmi,0.2581988897471611,0.2581988897471611
adaptive,dispersion_scale,working_fraction,,
adaptive,dispersion_scale,air_tbps,,
adaptive,dispersion_scale,thresholded_net_capacity_tbps,,
adaptive,dispersion_scale,working_fraction_C,,
adaptive,noise_figure_offset_db,minimum_gsnr_db,0.39999999999999997,0.39999999999999997
adaptive,noise_figure_offset_db,minimum_ngmi,-0.2581988897471611,0.2581988897471611
adaptive,noise_figure_offset_db,working_fraction,,
adaptive,noise_figure_offset_db,air_tbps,,
adaptive,noise_figure_offset_db,thresholded_net_capacity_tbps,,
adaptive,noise_figure_offset_db,working_fraction_C,,
adaptive,raman_gain_scale,minimum_gsnr_db,0.39999999999999997,0.39999999999999997
adaptive,raman_gain_scale,minimum_ngmi,0.7745966692414834,0.7745966692414834
adaptive,raman_gain_scale,working_fraction,,
adaptive,raman_gain_scale,air_tbps,,
adaptive,raman_gain_scale,thresholded_net_capacity_tbps,,
adaptive,raman_gain_scale,working_fraction_C,,
adaptive,pump_power_scale,minimum_gsnr_db,0.6000000000000001,0.6000000000000001
adaptive,pump_power_scale,minimum_ngmi,0.2581988897471611,0.2581988897471611
adaptive,pump_power_scale,working_fraction,,
adaptive,pump_power_scale,air_tbps,,
adaptive,pump_power_scale,thresholded_net_capacity_tbps,,
adaptive,pump_power_scale,working_fraction_C,,
adaptive,transceiver_snr_offset_db,minimum_gsnr_db,0.7999999999999999,0.7999999999999999
adaptive,transceiver_snr_offset_db,minimum_ngmi,0.2581988897471611,0.2581988897471611
adaptive,transceiver_snr_offset_db,working_fraction,,
adaptive,transceiver_snr_offset_db,air_tbps,,
adaptive,transceiver_snr_offset_db,thresholded_net_capacity_tbps,,
